-------- MisiSeqMS Start -------
File:C:\Users\patch\OneDrive\Documents\VisualStudio2022\Projects\MidiSeqMS\MusicStudioSongFiles\MusicStudio\PRELUDE.SNG has 2714 Bytes
==== PROCESS->Added 2 Objects
    Note:79 EVENT:46 Tick:8 State:2  *Ticks:607
    Note:67 EVENT:46 Tick:8 State:2  *Ticks:607
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:46 Tick:7 State:2  *Ticks:608
    Note:67 EVENT:46 Tick:7 State:2  *Ticks:608
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:46 Tick:6 State:2  *Ticks:609
    Note:67 EVENT:46 Tick:6 State:2  *Ticks:609
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:46 Tick:5 State:2  *Ticks:610
    Note:67 EVENT:46 Tick:5 State:2  *Ticks:610
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:46 Tick:4 State:2  *Ticks:611
    Note:67 EVENT:46 Tick:4 State:2  *Ticks:611
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:46 Tick:3 State:2  *Ticks:612
    Note:67 EVENT:46 Tick:3 State:2  *Ticks:612
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:46 Tick:2 State:3  *Ticks:613
    Note:67 EVENT:46 Tick:2 State:3  *Ticks:613
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:46 Tick:1 State:3  *Ticks:614
    Note:67 EVENT:46 Tick:1 State:3  *Ticks:614
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:46 Tick:0 State:4  *Ticks:615
   ---- Note Timed Out: Pitch:79 Ticks:0
    Note:67 EVENT:46 Tick:0 State:4  *Ticks:615
   ---- Note Timed Out: Pitch:67 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:11 State:2  *Ticks:616
    Note:69 EVENT:47 Tick:11 State:2  *Ticks:616
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:10 State:2  *Ticks:617
    Note:69 EVENT:47 Tick:10 State:2  *Ticks:617
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:9 State:2  *Ticks:618
    Note:69 EVENT:47 Tick:9 State:2  *Ticks:618
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:8 State:2  *Ticks:619
    Note:69 EVENT:47 Tick:8 State:2  *Ticks:619
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:7 State:2  *Ticks:620
    Note:69 EVENT:47 Tick:7 State:2  *Ticks:620
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:6 State:2  *Ticks:621
    Note:69 EVENT:47 Tick:6 State:2  *Ticks:621
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:5 State:2  *Ticks:622
    Note:69 EVENT:47 Tick:5 State:2  *Ticks:622
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:4 State:2  *Ticks:623
    Note:69 EVENT:47 Tick:4 State:2  *Ticks:623
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:3 State:2  *Ticks:624
    Note:69 EVENT:47 Tick:3 State:2  *Ticks:624
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:2 State:3  *Ticks:625
    Note:69 EVENT:47 Tick:2 State:3  *Ticks:625
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:1 State:3  *Ticks:626
    Note:69 EVENT:47 Tick:1 State:3  *Ticks:626
---- PLAY QUEUE: Total Objects:2
    Note:77 EVENT:47 Tick:0 State:4  *Ticks:627
   ---- Note Timed Out: Pitch:77 Ticks:0
    Note:69 EVENT:47 Tick:0 State:4  *Ticks:627
   ---- Note Timed Out: Pitch:69 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:23 State:2  *Ticks:628
    Note:71 EVENT:48 Tick:11 State:2  *Ticks:628
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:22 State:2  *Ticks:629
    Note:71 EVENT:48 Tick:10 State:2  *Ticks:629
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:21 State:2  *Ticks:630
    Note:71 EVENT:48 Tick:9 State:2  *Ticks:630
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:20 State:2  *Ticks:631
    Note:71 EVENT:48 Tick:8 State:2  *Ticks:631
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:19 State:2  *Ticks:632
    Note:71 EVENT:48 Tick:7 State:2  *Ticks:632
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:18 State:2  *Ticks:633
    Note:71 EVENT:48 Tick:6 State:2  *Ticks:633
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:17 State:2  *Ticks:634
    Note:71 EVENT:48 Tick:5 State:2  *Ticks:634
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:16 State:2  *Ticks:635
    Note:71 EVENT:48 Tick:4 State:2  *Ticks:635
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:15 State:2  *Ticks:636
    Note:71 EVENT:48 Tick:3 State:2  *Ticks:636
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:14 State:2  *Ticks:637
    Note:71 EVENT:48 Tick:2 State:3  *Ticks:637
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:13 State:2  *Ticks:638
    Note:71 EVENT:48 Tick:1 State:3  *Ticks:638
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:12 State:2  *Ticks:639
    Note:71 EVENT:48 Tick:0 State:4  *Ticks:639
   ---- Note Timed Out: Pitch:71 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:11 State:2  *Ticks:640
    Note:67 EVENT:49 Tick:11 State:2  *Ticks:640
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:10 State:2  *Ticks:641
    Note:67 EVENT:49 Tick:10 State:2  *Ticks:641
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:9 State:2  *Ticks:642
    Note:67 EVENT:49 Tick:9 State:2  *Ticks:642
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:8 State:2  *Ticks:643
    Note:67 EVENT:49 Tick:8 State:2  *Ticks:643
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:7 State:2  *Ticks:644
    Note:67 EVENT:49 Tick:7 State:2  *Ticks:644
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:6 State:2  *Ticks:645
    Note:67 EVENT:49 Tick:6 State:2  *Ticks:645
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:5 State:2  *Ticks:646
    Note:67 EVENT:49 Tick:5 State:2  *Ticks:646
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:4 State:2  *Ticks:647
    Note:67 EVENT:49 Tick:4 State:2  *Ticks:647
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:3 State:2  *Ticks:648
    Note:67 EVENT:49 Tick:3 State:2  *Ticks:648
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:2 State:3  *Ticks:649
    Note:67 EVENT:49 Tick:2 State:3  *Ticks:649
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:1 State:3  *Ticks:650
    Note:67 EVENT:49 Tick:1 State:3  *Ticks:650
---- PLAY QUEUE: Total Objects:2
    Note:79 EVENT:48 Tick:0 State:4  *Ticks:651
   ---- Note Timed Out: Pitch:79 Ticks:0
    Note:67 EVENT:49 Tick:0 State:4  *Ticks:651
   ---- Note Timed Out: Pitch:67 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:23 State:2  *Ticks:652
    Note:69 EVENT:50 Tick:11 State:2  *Ticks:652
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:22 State:2  *Ticks:653
    Note:69 EVENT:50 Tick:10 State:2  *Ticks:653
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:21 State:2  *Ticks:654
    Note:69 EVENT:50 Tick:9 State:2  *Ticks:654
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:20 State:2  *Ticks:655
    Note:69 EVENT:50 Tick:8 State:2  *Ticks:655
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:19 State:2  *Ticks:656
    Note:69 EVENT:50 Tick:7 State:2  *Ticks:656
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:18 State:2  *Ticks:657
    Note:69 EVENT:50 Tick:6 State:2  *Ticks:657
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:17 State:2  *Ticks:658
    Note:69 EVENT:50 Tick:5 State:2  *Ticks:658
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:16 State:2  *Ticks:659
    Note:69 EVENT:50 Tick:4 State:2  *Ticks:659
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:15 State:2  *Ticks:660
    Note:69 EVENT:50 Tick:3 State:2  *Ticks:660
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:14 State:2  *Ticks:661
    Note:69 EVENT:50 Tick:2 State:3  *Ticks:661
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:13 State:2  *Ticks:662
    Note:69 EVENT:50 Tick:1 State:3  *Ticks:662
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:12 State:2  *Ticks:663
    Note:69 EVENT:50 Tick:0 State:4  *Ticks:663
   ---- Note Timed Out: Pitch:69 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:11 State:2  *Ticks:664
    Note:71 EVENT:51 Tick:11 State:2  *Ticks:664
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:10 State:2  *Ticks:665
    Note:71 EVENT:51 Tick:10 State:2  *Ticks:665
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:9 State:2  *Ticks:666
    Note:71 EVENT:51 Tick:9 State:2  *Ticks:666
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:8 State:2  *Ticks:667
    Note:71 EVENT:51 Tick:8 State:2  *Ticks:667
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:7 State:2  *Ticks:668
    Note:71 EVENT:51 Tick:7 State:2  *Ticks:668
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:6 State:2  *Ticks:669
    Note:71 EVENT:51 Tick:6 State:2  *Ticks:669
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:5 State:2  *Ticks:670
    Note:71 EVENT:51 Tick:5 State:2  *Ticks:670
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:4 State:2  *Ticks:671
    Note:71 EVENT:51 Tick:4 State:2  *Ticks:671
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:3 State:2  *Ticks:672
    Note:71 EVENT:51 Tick:3 State:2  *Ticks:672
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:2 State:3  *Ticks:673
    Note:71 EVENT:51 Tick:2 State:3  *Ticks:673
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:1 State:3  *Ticks:674
    Note:71 EVENT:51 Tick:1 State:3  *Ticks:674
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:50 Tick:0 State:4  *Ticks:675
   ---- Note Timed Out: Pitch:74 Ticks:0
    Note:71 EVENT:51 Tick:0 State:4  *Ticks:675
   ---- Note Timed Out: Pitch:71 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:23 State:2  *Ticks:676
    Note:72 EVENT:52 Tick:23 State:2  *Ticks:676
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:22 State:2  *Ticks:677
    Note:72 EVENT:52 Tick:22 State:2  *Ticks:677
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:21 State:2  *Ticks:678
    Note:72 EVENT:52 Tick:21 State:2  *Ticks:678
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:20 State:2  *Ticks:679
    Note:72 EVENT:52 Tick:20 State:2  *Ticks:679
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:19 State:2  *Ticks:680
    Note:72 EVENT:52 Tick:19 State:2  *Ticks:680
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:18 State:2  *Ticks:681
    Note:72 EVENT:52 Tick:18 State:2  *Ticks:681
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:17 State:2  *Ticks:682
    Note:72 EVENT:52 Tick:17 State:2  *Ticks:682
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:16 State:2  *Ticks:683
    Note:72 EVENT:52 Tick:16 State:2  *Ticks:683
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:15 State:2  *Ticks:684
    Note:72 EVENT:52 Tick:15 State:2  *Ticks:684
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:14 State:2  *Ticks:685
    Note:72 EVENT:52 Tick:14 State:2  *Ticks:685
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:13 State:2  *Ticks:686
    Note:72 EVENT:52 Tick:13 State:2  *Ticks:686
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:12 State:2  *Ticks:687
    Note:72 EVENT:52 Tick:12 State:2  *Ticks:687
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:11 State:2  *Ticks:688
    Note:72 EVENT:52 Tick:11 State:2  *Ticks:688
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:10 State:2  *Ticks:689
    Note:72 EVENT:52 Tick:10 State:2  *Ticks:689
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:9 State:2  *Ticks:690
    Note:72 EVENT:52 Tick:9 State:2  *Ticks:690
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:8 State:2  *Ticks:691
    Note:72 EVENT:52 Tick:8 State:2  *Ticks:691
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:7 State:2  *Ticks:692
    Note:72 EVENT:52 Tick:7 State:2  *Ticks:692
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:6 State:2  *Ticks:693
    Note:72 EVENT:52 Tick:6 State:2  *Ticks:693
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:5 State:2  *Ticks:694
    Note:72 EVENT:52 Tick:5 State:2  *Ticks:694
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:4 State:2  *Ticks:695
    Note:72 EVENT:52 Tick:4 State:2  *Ticks:695
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:3 State:2  *Ticks:696
    Note:72 EVENT:52 Tick:3 State:2  *Ticks:696
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:2 State:3  *Ticks:697
    Note:72 EVENT:52 Tick:2 State:3  *Ticks:697
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:1 State:3  *Ticks:698
    Note:72 EVENT:52 Tick:1 State:3  *Ticks:698
---- PLAY QUEUE: Total Objects:2
    Note:76 EVENT:52 Tick:0 State:4  *Ticks:699
   ---- Note Timed Out: Pitch:76 Ticks:0
    Note:72 EVENT:52 Tick:0 State:4  *Ticks:699
   ---- Note Timed Out: Pitch:72 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:11 State:2  *Ticks:700
    Note:60 EVENT:53 Tick:23 State:2  *Ticks:700
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:10 State:2  *Ticks:701
    Note:60 EVENT:53 Tick:22 State:2  *Ticks:701
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:9 State:2  *Ticks:702
    Note:60 EVENT:53 Tick:21 State:2  *Ticks:702
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:8 State:2  *Ticks:703
    Note:60 EVENT:53 Tick:20 State:2  *Ticks:703
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:7 State:2  *Ticks:704
    Note:60 EVENT:53 Tick:19 State:2  *Ticks:704
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:6 State:2  *Ticks:705
    Note:60 EVENT:53 Tick:18 State:2  *Ticks:705
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:5 State:2  *Ticks:706
    Note:60 EVENT:53 Tick:17 State:2  *Ticks:706
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:4 State:2  *Ticks:707
    Note:60 EVENT:53 Tick:16 State:2  *Ticks:707
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:3 State:2  *Ticks:708
    Note:60 EVENT:53 Tick:15 State:2  *Ticks:708
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:2 State:3  *Ticks:709
    Note:60 EVENT:53 Tick:14 State:2  *Ticks:709
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:1 State:3  *Ticks:710
    Note:60 EVENT:53 Tick:13 State:2  *Ticks:710
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:53 Tick:0 State:4  *Ticks:711
   ---- Note Timed Out: Pitch:74 Ticks:0
    Note:60 EVENT:53 Tick:12 State:2  *Ticks:711
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:11 State:2  *Ticks:712
    Note:72 EVENT:54 Tick:11 State:2  *Ticks:712
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:10 State:2  *Ticks:713
    Note:72 EVENT:54 Tick:10 State:2  *Ticks:713
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:9 State:2  *Ticks:714
    Note:72 EVENT:54 Tick:9 State:2  *Ticks:714
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:8 State:2  *Ticks:715
    Note:72 EVENT:54 Tick:8 State:2  *Ticks:715
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:7 State:2  *Ticks:716
    Note:72 EVENT:54 Tick:7 State:2  *Ticks:716
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:6 State:2  *Ticks:717
    Note:72 EVENT:54 Tick:6 State:2  *Ticks:717
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:5 State:2  *Ticks:718
    Note:72 EVENT:54 Tick:5 State:2  *Ticks:718
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:4 State:2  *Ticks:719
    Note:72 EVENT:54 Tick:4 State:2  *Ticks:719
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:3 State:2  *Ticks:720
    Note:72 EVENT:54 Tick:3 State:2  *Ticks:720
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:2 State:3  *Ticks:721
    Note:72 EVENT:54 Tick:2 State:3  *Ticks:721
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:1 State:3  *Ticks:722
    Note:72 EVENT:54 Tick:1 State:3  *Ticks:722
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:53 Tick:0 State:4  *Ticks:723
   ---- Note Timed Out: Pitch:60 Ticks:0
    Note:72 EVENT:54 Tick:0 State:4  *Ticks:723
   ---- Note Timed Out: Pitch:72 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:23 State:2  *Ticks:724
    Note:55 EVENT:55 Tick:23 State:2  *Ticks:724
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:22 State:2  *Ticks:725
    Note:55 EVENT:55 Tick:22 State:2  *Ticks:725
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:21 State:2  *Ticks:726
    Note:55 EVENT:55 Tick:21 State:2  *Ticks:726
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:20 State:2  *Ticks:727
    Note:55 EVENT:55 Tick:20 State:2  *Ticks:727
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:19 State:2  *Ticks:728
    Note:55 EVENT:55 Tick:19 State:2  *Ticks:728
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:18 State:2  *Ticks:729
    Note:55 EVENT:55 Tick:18 State:2  *Ticks:729
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:17 State:2  *Ticks:730
    Note:55 EVENT:55 Tick:17 State:2  *Ticks:730
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:16 State:2  *Ticks:731
    Note:55 EVENT:55 Tick:16 State:2  *Ticks:731
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:15 State:2  *Ticks:732
    Note:55 EVENT:55 Tick:15 State:2  *Ticks:732
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:14 State:2  *Ticks:733
    Note:55 EVENT:55 Tick:14 State:2  *Ticks:733
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:13 State:2  *Ticks:734
    Note:55 EVENT:55 Tick:13 State:2  *Ticks:734
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:12 State:2  *Ticks:735
    Note:55 EVENT:55 Tick:12 State:2  *Ticks:735
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:11 State:2  *Ticks:736
    Note:55 EVENT:55 Tick:11 State:2  *Ticks:736
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:10 State:2  *Ticks:737
    Note:55 EVENT:55 Tick:10 State:2  *Ticks:737
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:9 State:2  *Ticks:738
    Note:55 EVENT:55 Tick:9 State:2  *Ticks:738
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:8 State:2  *Ticks:739
    Note:55 EVENT:55 Tick:8 State:2  *Ticks:739
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:7 State:2  *Ticks:740
    Note:55 EVENT:55 Tick:7 State:2  *Ticks:740
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:6 State:2  *Ticks:741
    Note:55 EVENT:55 Tick:6 State:2  *Ticks:741
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:5 State:2  *Ticks:742
    Note:55 EVENT:55 Tick:5 State:2  *Ticks:742
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:4 State:2  *Ticks:743
    Note:55 EVENT:55 Tick:4 State:2  *Ticks:743
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:3 State:2  *Ticks:744
    Note:55 EVENT:55 Tick:3 State:2  *Ticks:744
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:2 State:3  *Ticks:745
    Note:55 EVENT:55 Tick:2 State:3  *Ticks:745
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:1 State:3  *Ticks:746
    Note:55 EVENT:55 Tick:1 State:3  *Ticks:746
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:55 Tick:0 State:4  *Ticks:747
   ---- Note Timed Out: Pitch:71 Ticks:0
    Note:55 EVENT:55 Tick:0 State:4  *Ticks:747
   ---- Note Timed Out: Pitch:55 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:11 State:2  *Ticks:748
    Note:60 EVENT:56 Tick:11 State:2  *Ticks:748
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:10 State:2  *Ticks:749
    Note:60 EVENT:56 Tick:10 State:2  *Ticks:749
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:9 State:2  *Ticks:750
    Note:60 EVENT:56 Tick:9 State:2  *Ticks:750
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:8 State:2  *Ticks:751
    Note:60 EVENT:56 Tick:8 State:2  *Ticks:751
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:7 State:2  *Ticks:752
    Note:60 EVENT:56 Tick:7 State:2  *Ticks:752
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:6 State:2  *Ticks:753
    Note:60 EVENT:56 Tick:6 State:2  *Ticks:753
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:5 State:2  *Ticks:754
    Note:60 EVENT:56 Tick:5 State:2  *Ticks:754
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:4 State:2  *Ticks:755
    Note:60 EVENT:56 Tick:4 State:2  *Ticks:755
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:3 State:2  *Ticks:756
    Note:60 EVENT:56 Tick:3 State:2  *Ticks:756
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:2 State:3  *Ticks:757
    Note:60 EVENT:56 Tick:2 State:3  *Ticks:757
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:1 State:3  *Ticks:758
    Note:60 EVENT:56 Tick:1 State:3  *Ticks:758
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:56 Tick:0 State:4  *Ticks:759
   ---- Note Timed Out: Pitch:72 Ticks:0
    Note:60 EVENT:56 Tick:0 State:4  *Ticks:759
   ---- Note Timed Out: Pitch:60 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:57 Tick:11 State:2  *Ticks:760
    Note:59 EVENT:57 Tick:11 State:2  *Ticks:760
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:57 Tick:10 State:2  *Ticks:761
    Note:59 EVENT:57 Tick:10 State:2  *Ticks:761
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:57 Tick:9 State:2  *Ticks:762
    Note:59 EVENT:57 Tick:9 State:2  *Ticks:762
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:57 Tick:8 State:2  *Ticks:763
    Note:59 EVENT:57 Tick:8 State:2  *Ticks:763
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:57 Tick:7 State:2  *Ticks:764
    Note:59 EVENT:57 Tick:7 State:2  *Ticks:764
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:57 Tick:6 State:2  *Ticks:765
    Note:59 EVENT:57 Tick:6 State:2  *Ticks:765
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:57 Tick:5 State:2  *Ticks:766
    Note:59 EVENT:57 Tick:5 State:2  *Ticks:766
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:57 Tick:4 State:2  *Ticks:767
    Note:59 EVENT:57 Tick:4 State:2  *Ticks:767
---- PLAY QUEUE: Total Objects:2
